arbitration_id,adj_page_sum,adj_page_mean,adj_page_var,adj_page_sd,adj_page_min,adj_page_max,italaw_title,italaw_case_type,italaw_arbitration_rules,italaw_investment_treaty,italaw_legal_instruments,italaw_economic_sector,page_sum,page_mean,page_var,page_sd,page_min,page_max,num_known_docs,num_avail_docs,pct_avail_docs
2002_champion_trading_and_ameritrade_v_egypt,59.0,29.5,180.5,13.435028842544403,20.0,39.0,"Champion Trading Company, Ameritrade International, Inc. v. Arab Republic of Egypt, ICSID Case No. ARB/02/9 (formerly Champion Trading Company, Ameritrade International, Inc., James T. Wahba, John B. Wahba, Timothy T. Wahba v. Arab Republic of Egypt)  | italaw",International Investment Agreement,ICSID,Egypt-United States BIT,Egypt-United States BIT,,59.0,29.5,180.5,13.435028842544403,20.0,39.0,2,2,1.0
2002_chemtura_v_canada,3009.0,130.82608695652175,12843.059288537544,113.32722218662886,2.0,369.0,"Chemtura Corporation (formerly Crompton Corporation) v. Government of Canada, PCA Case No. 2008-01 | italaw",International Investment Agreement,UNCITRAL Arbitration Rules (1976),NAFTA,NAFTA,"Agriculture, forestry and fishing,Professional, scientific and technical activities",3009.0,130.82608695652175,12843.059288537544,113.32722218662886,2.0,369.0,23,23,1.0
2002_fireman_s_fund_v_mexico,278.0,25.272727272727273,917.8181818181818,30.295514219405185,4.0,107.0,"Fireman's Fund Insurance Company v. The United Mexican States, ICSID Case No. ARB(AF)/02/1 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,278.0,25.272727272727273,917.8181818181818,30.295514219405185,4.0,107.0,11,11,1.0
2002_france_telecom_v_lebanon,26.0,13.0,8.0,2.8284271247461903,11.0,15.0,"France Telecom v. Lebanon, UNCITRAL  | italaw",International Investment Agreement,UNCITRAL (1976),France-Lebanon BIT,France-Lebanon BIT,,26.0,13.0,8.0,2.8284271247461903,11.0,15.0,3,2,0.6666666666666666
2002_gami_v_mexico,709.0,37.31578947368421,1211.561403508772,34.807490623553605,2.0,116.0,"Gami Investments Inc. v. Mexico, UNCITRAL | italaw",International Investment Agreement,UNCITRAL Arbitration Rules (1976),NAFTA,NAFTA,"Agriculture, forestry and fishing",709.0,37.31578947368421,1211.561403508772,34.807490623553605,2.0,116.0,19,19,1.0
2002_ibm_v_ecuador,34.0,11.333333333333334,89.33333333333333,9.451631252505216,4.0,22.0,"IBM World Trade Corporation v. República del Ecuador, ICSID Case No. ARB/02/10 | italaw",International Investment Agreement,ICSID,Ecuador-United States BIT,Ecuador-United States BIT,,33.0,11.0,79.0,8.888194417315589,4.0,21.0,3,3,1.0
2002_lg_e_v_argentina,159.0,31.8,1085.2,32.94237392781522,4.0,86.0,"LG&E Energy Corp., LG&E Capital Corp., and LG&E International, Inc .v. Argentine Republic, ICSID Case No. ARB/02/1 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,159.0,31.8,1085.2,32.94237392781522,4.0,86.0,5,5,1.0
2002_nagel_v_czech_republic,122.0,30.5,2273.6666666666665,47.68298089115934,5.0,102.0,"William Nagel v. The Czech Republic, SCC Case No. 049/2002  | italaw",International Investment Agreement,SCC,Czech Republic-United Kingdom BIT,Czech Republic-United Kingdom BIT,,122.0,30.5,2273.6666666666665,47.68298089115934,5.0,102.0,4,4,1.0
2002_occidental_v_ecuador_i,215.0,43.0,680.0,26.076809620810597,16.0,77.0,"Occidental Exploration and Production Company v. The Republic of Ecuador, LCIA Case No. UN3467 | italaw",International Investment Agreement,UNCITRAL (1976),Ecuador-United States BIT,Ecuador-United States BIT,,215.0,43.0,680.0,26.076809620810597,16.0,77.0,9,5,0.5555555555555556
2002_pseg_v_turkey,199.0,99.5,4140.5,64.34671708797582,54.0,145.0,"PSEG Global, Inc., The North American Coal Corporation, and Konya Ingin Electrik Üretim ve Ticaret Limited Sirketi v. Republic of Turkey, ICSID Case No. ARB/02/5 | italaw",International Investment Agreement,ICSID,Turkey-United States BIT,Turkey-United States BIT,,199.0,99.5,4140.5,64.34671708797582,54.0,145.0,4,2,0.5
2002_salini_v_jordan,157.0,52.333333333333336,2376.3333333333335,48.747649515985216,1.0,98.0,"Salini Costruttori S.p.A. and Italstrade S.p.A. v. The Hashemite Kingdom of Jordan, ICSID Case No. ARB/02/13 | italaw",International Investment Agreement,ICSID,Italy-Jordan BIT,Italy-Jordan BIT,,157.0,52.333333333333336,2376.3333333333335,48.747649515985216,1.0,98.0,3,3,1.0
2002_sempra_v_argentina,544.0,54.4,2661.6000000000004,51.59069683576682,2.0,152.0,"Sempra Energy International v. The Argentine Republic, ICSID Case No. ARB/02/16 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,544.0,54.4,2661.6000000000004,51.59069683576682,2.0,152.0,11,10,0.9090909090909091
2002_sgs_v_philippines,84.0,28.0,1209.0,34.77067730142742,5.0,68.0,"SGS Société Générale de Surveillance S.A. v. Republic of the Philippines, ICSID Case No. ARB/02/6 | italaw",International Investment Agreement,ICSID,Philippines-Switzerland BIT,Philippines-Switzerland BIT,,84.0,28.0,1209.0,34.77067730142742,5.0,68.0,3,3,1.0
2002_siemens_v_argentina,222.0,44.4,3400.2999999999993,58.31209137048678,2.0,131.0,"Siemens A.G. v. The Argentine Republic, ICSID Case No. ARB/02/8 | italaw",International Investment Agreement,ICSID,Argentina-Germany BIT,Argentina-Germany BIT,,222.0,44.4,3400.2999999999993,58.31209137048678,2.0,131.0,6,5,0.8333333333333334
2002_soufraki_v_uae,140.0,35.0,591.3333333333334,24.317346346452638,4.0,63.0,"Hussein Nuaman Soufraki v. The United Arab Emirates, ICSID Case No. ARB/02/7 | italaw",International Investment Agreement,ICSID,Italy-United Arab Emirates BIT,Italy-United Arab Emirates BIT,,140.0,35.0,591.3333333333334,24.317346346452638,4.0,63.0,4,4,1.0
2002_thunderbird_v_mexico,1012.0,30.666666666666668,1980.8541666666665,44.50678787181419,1.0,142.0,"International Thunderbird Gaming Corporation v. The United Mexican States, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,Other service activities,1012.0,30.666666666666668,1980.8541666666665,44.50678787181419,1.0,142.0,33,33,1.0
